TITLE,LAT,LON,ICON,DESCRIPTION,CREDIT,LINK,URL,IMAGE,HTML
Courtyard Bar & Brasserie,56.587802,-4.002836,cafe,"Come and experience our dynamic new contemporary restaurant with an upbeat vibrancy and modern Scottish cuisine, just a stone�s throw away from stunning Loch Tay. A lovely place to enjoy with friendly atmosphere and service.<br/>Our delicatessen offers an eclectic mix of the finest products sourced from Scotland, Italy and even as far afield as New Zealand! Whether you�re looking for a foodie gift or something a little different for dinner, we�re confident we have something for everyone.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,www.taymouth.co.uk,http://www.taymouth.co.uk/,http://www.taymouth.co.uk/assets/pages/img/works/rest.jpg,"<p>Come and experience our dynamic new contemporary restaurant with an upbeat vibrancy and modern Scottish cuisine, just a stone�s throw away from stunning Loch Tay. A lovely place to enjoy with friendly atmosphere and service.<br/>Our delicatessen offers an eclectic mix of the finest products sourced from Scotland, Italy and even as far afield as New Zealand! Whether you�re looking for a foodie gift or something a little different for dinner, we�re confident we have something for everyone.</p><p><a href='http://www.taymouth.co.uk/' target='_blank'>www.taymouth.co.uk</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='http://www.taymouth.co.uk/assets/pages/img/works/rest.jpg' width='100%'/>"
Ben Lawers,56.544911,-4.220896,mountain,"Ben Lawers (Gaelic: Beinn Labhair) is the highest mountain in the southern part of the Scottish Highlands. It lies to the north side of Loch Tay, and is the highest point of a long ridge that includes seven Munros. Ben Lawers was long thought to be over 4,000 feet (1,219.2 m) in height; accurate measurement in the 1870s showed it to be some 17 feet (5.2 m) short of this figure. In 1878, a group of twenty men spent a day building a large cairn in the hope of bringing the summit above the ""magic"" figure. The cairn is no longer there; in any case the Ordnance Survey ignored it as an artificial structure that was not truly part of the hill.<br/>Elevation 1,214 m (3,983 ft)",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/Ben_Lawers,,"<p>Ben Lawers (Gaelic: Beinn Labhair) is the highest mountain in the southern part of the Scottish Highlands. It lies to the north side of Loch Tay, and is the highest point of a long ridge that includes seven Munros. Ben Lawers was long thought to be over 4,000 feet (1,219.2 m) in height; accurate measurement in the 1870s showed it to be some 17 feet (5.2 m) short of this figure. In 1878, a group of twenty men spent a day building a large cairn in the hope of bringing the summit above the ""magic"" figure. The cairn is no longer there; in any case the Ordnance Survey ignored it as an artificial structure that was not truly part of the hill.<br/>Elevation 1,214 m (3,983 ft)</p><p><a href='https://en.wikipedia.org/wiki/Ben_Lawers' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p>"
Glen Lyon Tearoom,56.59198,-4.318179,cafe,"While this family-run tearoom and shop, housed in a traditional cottage, may be modest in scale, its setting overlooking the River Lyon deep within one of Scotland's most alluring glens is one of majestic and unforgettable natural beauty.<br/>Visitors arrive at this remote hideaway already smiling from the journey - be it by car, bicycle or on foot, along the glen road or over the high-altitude Ben Lawers route (extremely ill-advised during winter).<br/>It's the perfect preparation for the small menu of fresh soups and sandwiches and the enticing home-made bakes and cakes - from shortbread and moist fruit and nut cakes to imaginative flapjacks and cream scones that are as memorable as the location - especially if the weather permits al fresco dining.<br/>Various teas are on offer as well as great coffee made just down the road by Glen Lyon Coffee Roasters.<br/>The shop offers the basic, but possibly vital, essentials, as well as serving as the local visitor info centre, and the Bridge of Balgie Post Office.",Text credit: <a href='food.list.co.uk' target='_blank'>food.list.co.uk</a>,food.list.co.uk,https://food.list.co.uk/place/55370-glenlyon-tearoom/,img/glen_lyon.png,"<p>While this family-run tearoom and shop, housed in a traditional cottage, may be modest in scale, its setting overlooking the River Lyon deep within one of Scotland's most alluring glens is one of majestic and unforgettable natural beauty.<br/>Visitors arrive at this remote hideaway already smiling from the journey - be it by car, bicycle or on foot, along the glen road or over the high-altitude Ben Lawers route (extremely ill-advised during winter).<br/>It's the perfect preparation for the small menu of fresh soups and sandwiches and the enticing home-made bakes and cakes - from shortbread and moist fruit and nut cakes to imaginative flapjacks and cream scones that are as memorable as the location - especially if the weather permits al fresco dining.<br/>Various teas are on offer as well as great coffee made just down the road by Glen Lyon Coffee Roasters.<br/>The shop offers the basic, but possibly vital, essentials, as well as serving as the local visitor info centre, and the Bridge of Balgie Post Office.</p><p><a href='https://food.list.co.uk/place/55370-glenlyon-tearoom/' target='_blank'>food.list.co.uk</a></p><p>Text credit: <a href='food.list.co.uk' target='_blank'>food.list.co.uk</a></p><p><img src='img/glen_lyon.png' width='100%'/>"
Schiehallion,56.666871,-4.100088,mountain,"Schiehallion (Scottish Gaelic: Sidh Chailleann) is a prominent mountain in Perth and Kinross, Scotland.<br/>Schiehallion has a rich botanical life, interesting archaeology, and a unique place in scientific history for an 18th-century experiment in ""weighing the world"". The mountain's popularity amongst walkers led to erosion on its footpath and extensive repairs were undertaken in 2001.<br/>Elevation 1,083 m (3,553 ft)_",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/Schiehallion,img/schiehallion.png,"<p>Schiehallion (Scottish Gaelic: Sidh Chailleann) is a prominent mountain in Perth and Kinross, Scotland.<br/>Schiehallion has a rich botanical life, interesting archaeology, and a unique place in scientific history for an 18th-century experiment in ""weighing the world"". The mountain's popularity amongst walkers led to erosion on its footpath and extensive repairs were undertaken in 2001.<br/>Elevation 1,083 m (3,553 ft)_</p><p><a href='https://en.wikipedia.org/wiki/Schiehallion' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/schiehallion.png' width='100%'/>"
Queens View,56.716903,-3.857432,attraction,"The Queen's View in Highland Perthshire overlooks Loch Tummel and is said to have been named after Queen Victoria, following her visit to the area in 1866.<br/>The Queen's View Visitor Centre lies at the eastern edge of Loch Tummel and is surrounded by part of Tay Forest Park. As well as a stunning viewpoint overlooking the loch and beyond to the iconic Schiehallion, the area offers a range of woodland walks suitable for all abilities.<br/>One of the most photographed areas in Scotland, Queen Victoria is said to have remarked that the spectacular view was named after her, when she visited the area in 1866. However, it has also been suggested that the view was in fact named after King Robert the Bruce's wife, Queen Isabella of Scotland, over 550 years earlier.<br/>As well as the stunning viewpoint, the visitor centre includes a cafe and shop with detailed information about the forests and area surrounding Highland Perthshire.",Text credit: <a href='scotland.forestry.gov.uk' target='_blank'>scotland.forestry.gov.uk</a>,scotland.forestry.gov.uk,http://scotland.forestry.gov.uk/forest-parks/tay-forest-park/queens-view-visitor-centre,,"<p>The Queen's View in Highland Perthshire overlooks Loch Tummel and is said to have been named after Queen Victoria, following her visit to the area in 1866.<br/>The Queen's View Visitor Centre lies at the eastern edge of Loch Tummel and is surrounded by part of Tay Forest Park. As well as a stunning viewpoint overlooking the loch and beyond to the iconic Schiehallion, the area offers a range of woodland walks suitable for all abilities.<br/>One of the most photographed areas in Scotland, Queen Victoria is said to have remarked that the spectacular view was named after her, when she visited the area in 1866. However, it has also been suggested that the view was in fact named after King Robert the Bruce's wife, Queen Isabella of Scotland, over 550 years earlier.<br/>As well as the stunning viewpoint, the visitor centre includes a cafe and shop with detailed information about the forests and area surrounding Highland Perthshire.</p><p><a href='http://scotland.forestry.gov.uk/forest-parks/tay-forest-park/queens-view-visitor-centre' target='_blank'>scotland.forestry.gov.uk</a></p><p>Text credit: <a href='scotland.forestry.gov.uk' target='_blank'>scotland.forestry.gov.uk</a></p><p><img src='' width='100%'/>"
Pitlochry Dam,56.700341,-3.739286,attraction,"Brand new for 2017, SSE's Pitlochry Dam Visitor Centre showcases the rich history of hydro electricity in the north of Scotland and how it transformed lives. On display are a number of fascinating artefacts that show how generations of homes have been transformed by electrical appliances.<br/>Visitors will meet the visionaries, such as Tom Johnston, who saw the untapped potential of hydro power in Scotland as well as hear the stories of the Hydro Boys and Tunnel Tigers who lived - and sadly in some cases died - building the schemes.<br/>Pitlochry's 'fish ladder' was integral to the design for the hydro electricity scheme in the early 1950's. Thousands visit the Dam to see the salmon swim to their breeding grounds up river and now everyone can learn the secrets of that incredible journey.",Text credit: <a href='www.pitlochrydam.com' target='_blank'>www.pitlochrydam.com</a>,www.pitlochrydam.com,http://www.pitlochrydam.com,img/pitlochrydam.jpg,"<p>Brand new for 2017, SSE's Pitlochry Dam Visitor Centre showcases the rich history of hydro electricity in the north of Scotland and how it transformed lives. On display are a number of fascinating artefacts that show how generations of homes have been transformed by electrical appliances.<br/>Visitors will meet the visionaries, such as Tom Johnston, who saw the untapped potential of hydro power in Scotland as well as hear the stories of the Hydro Boys and Tunnel Tigers who lived - and sadly in some cases died - building the schemes.<br/>Pitlochry's 'fish ladder' was integral to the design for the hydro electricity scheme in the early 1950's. Thousands visit the Dam to see the salmon swim to their breeding grounds up river and now everyone can learn the secrets of that incredible journey.</p><p><a href='http://www.pitlochrydam.com' target='_blank'>www.pitlochrydam.com</a></p><p>Text credit: <a href='www.pitlochrydam.com' target='_blank'>www.pitlochrydam.com</a></p><p><img src='img/pitlochrydam.jpg' width='100%'/>"
Port Na Craig,56.698378,-3.734132,restaurant,"Port Na Craig Inn and Restaurant in its dramatic and tranquil setting is established as a place to eat and frequent when visiting Pitlochry.<br/>
Open seven days a week, 11.00 a.m. till late serving food all day including morning coffee, lunch, Pre theatre and evening meals. This year we are also introducing Sunday Brunch which will feature a fixed menu and individual dishes served from 11.00 a.m. until 4.00.</br>
The restaurant, together with its conservatory offers an intimate place to dine. Our outside seating area set on the banks of the river, are for warm summer nights when al fresco dining is idyllic. Port Na Craig offers warm and friendly service. Come and enjoy the hospitality, good food and wonderful location.<br/>
A taste of Scotland awaits you. All dishes are freshly prepared and cooked to order using fresh Scottish and local produce and our home grown herbs rhubarb and apples.",Text credit: <a href='portnacraig.com' target='_blank'>portnacraig.com</a>,portnacraig.com,http://www.portnacraig.com/,,"<p>Port Na Craig Inn and Restaurant in its dramatic and tranquil setting is established as a place to eat and frequent when visiting Pitlochry.<br/>
Open seven days a week, 11.00 a.m. till late serving food all day including morning coffee, lunch, Pre theatre and evening meals. This year we are also introducing Sunday Brunch which will feature a fixed menu and individual dishes served from 11.00 a.m. until 4.00.</br>
The restaurant, together with its conservatory offers an intimate place to dine. Our outside seating area set on the banks of the river, are for warm summer nights when al fresco dining is idyllic. Port Na Craig offers warm and friendly service. Come and enjoy the hospitality, good food and wonderful location.<br/>
A taste of Scotland awaits you. All dishes are freshly prepared and cooked to order using fresh Scottish and local produce and our home grown herbs rhubarb and apples.</p><p><a href='http://www.portnacraig.com/' target='_blank'>portnacraig.com</a></p><p>Text credit: <a href='portnacraig.com' target='_blank'>portnacraig.com</a></p><p><img src='' width='100%'/>"
Cairnwell Pass,56.881012,-3.410707,mountain,"Cairnwell Pass [1], between  Braemar and Spittal of Glenshee, is a Pass on the A93 at a height of 670 metres / 2198 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/cairnwell.png,"<p>Cairnwell Pass [1], between  Braemar and Spittal of Glenshee, is a Pass on the A93 at a height of 670 metres / 2198 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/cairnwell.png' width='100%'/>"
Mar Lodge Estate,56.992429,-3.485527,attraction,"In winter, resident ptarmigan in their winter plumage will be joined by visitors from further north, including large flocks of fieldfare and redwing. The mountain hare will also be in its winter coat and may be visible quite far down the glens. Even the bright coats of red squirrels become grey over winter. 

As spring bursts forth, male black grouse will put on a display as they compete for female attention. Other birds are also out looking for mates and the air fills with the sound of oystercatchers, lapwings, curlews and cuckoos. Peacock, small tortoiseshell and green hairstreak butterflies play their part in the spring carnival.  

Summer is a glorious time to visit Mar Lodge as wildflowers begin to bloom and the grassy flats beside the rivers become beautiful meadows. It's a busy time for birds, as many raise their chicks. On the moors, red grouse, meadow pipits and skylarks are active, while treecreepers, willow warblers, stonechat and great tits make their home in the woods. Fortunate birdwatchers may even spot a golden eagle soaring high above.  

Autumn is the season for a vast array of fungi including the classic red and white fly agaric toadstools, while many wild berries ripen in the pinewoods. Perhaps the most spectacular display of the year comes when the red deer stags start to rut � their roaring and clashing battles echo across the glens.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/What-we-do/Article/Mar-Lodge-Estate,,"<p>In winter, resident ptarmigan in their winter plumage will be joined by visitors from further north, including large flocks of fieldfare and redwing. The mountain hare will also be in its winter coat and may be visible quite far down the glens. Even the bright coats of red squirrels become grey over winter. 

As spring bursts forth, male black grouse will put on a display as they compete for female attention. Other birds are also out looking for mates and the air fills with the sound of oystercatchers, lapwings, curlews and cuckoos. Peacock, small tortoiseshell and green hairstreak butterflies play their part in the spring carnival.  

Summer is a glorious time to visit Mar Lodge as wildflowers begin to bloom and the grassy flats beside the rivers become beautiful meadows. It�s a busy time for birds, as many raise their chicks. On the moors, red grouse, meadow pipits and skylarks are active, while treecreepers, willow warblers, stonechat and great tits make their home in the woods. Fortunate birdwatchers may even spot a golden eagle soaring high above.  

Autumn is the season for a vast array of fungi including the classic red and white fly agaric toadstools, while many wild berries ripen in the pinewoods. Perhaps the most spectacular display of the year comes when the red deer stags start to rut � their roaring and clashing battles echo across the glens.</p><p><a href='http://www.nts.org.uk/What-we-do/Article/Mar-Lodge-Estate' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p><p><img src='' width='100%'/>"
Linn of Dee,56.988406,-3.544919,attraction,"Here you can enjoy the rush of water and spectacular rock formations as the River Dee,  owing down from its source in the Cairngorms, cascades through the narrow gorge. Keep to the path to avoid the slippery rocks. Cross the road (watch for traf c) at the steps by the bridge to view the upstream side, and follow the network of paths to return to the car park.",Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a>,www.nts.org.uk,http://www.nts.org.uk/Downloads/Properties/mar_lodge_combined_low_res.pdf,,"<p>Here you can enjoy the rush of water and spectacular rock formations as the River Dee,  owing down from its source in the Cairngorms, cascades through the narrow gorge. Keep to the path to avoid the slippery rocks. Cross the road (watch for traf c) at the steps by the bridge to view the upstream side, and follow the network of paths to return to the car park.</p><p><a href='http://www.nts.org.uk/Downloads/Properties/mar_lodge_combined_low_res.pdf' target='_blank'>www.nts.org.uk</a></p><p>Text credit: <a href='www.nts.org.uk' target='_blank'>www.nts.org.uk</a></p><p><img src='' width='100%'/>"
