LAT,LON,Distillery,Note
57.5468314,-2.957289,Glen Keith Distillery,Not open to the public
57.3440066,-3.3390286,Glenlivet Distillery,https://www.theglenlivet.com/en-gb/tag/visit-us
57.598656,-3.319288,Glenlossie Distillery,Not open to the public.
57.6445228,-3.3407527,Glen Moray Distillery,
57.526232,-3.2142157,Glenrothes Distillery,Not open to the public.
57.5257453,-3.2095876,Glen Spey Distillery,Not open to the public.
57.5343601,-3.0496332,Glentauchers Distillery,Not open to the public.
57.6617997,-2.9638842,Inchgower Distillery,Not open to the public.
57.4595521,-3.127033,Kininvie Distillery,Not open to the public.
57.4572094,-3.3434716,Knockando Distillery,Not open to the public.
57.562767,-2.760219,"Knockdhu Distillery, home of anCnoc",https://ancnoc.com/visit
57.635429,-3.2865101,Linkwood Distillery,Not open to the public
57.6084345,-3.2822621,Longmorn Distillery,Not open to the public
57.484647,-3.206955,The Macallan Estate,
57.6006981,-3.3117944,Mannochmore Distillery,Not open to the public
57.6244954,-3.3677475,Miltonduff Distillery,Not open to the public. Tours sometimes available as part of the Spirit of Speyside Festival https://www.spiritofspeyside.com/events/1087_manager_s_tour_of_miltonduff_distillery
57.4429518,-3.1232071,Mortlach Distillery,Not open to the public. Tours sometimes available during Spirit of Speyside Festival https://www.spiritofspeyside.com/events/856_mortlach_distillery_tour
57.6681936,-3.473216,Roseisle Distillery,Not open to the public
57.536468,-3.216086,Speyburn Distillery,Not open to the public
57.482457,-3.181114,Speyside Cooperage Visitor Centre,
57.0727902,-4.0025548,Speyside Distillery Co,Not open to the public
57.5469863,-2.9541437,Strathisla Distillery,https://www.chivas.com/visit-strathisla
57.5398784,-2.9613959,Strathmill Distillery,Not open to the public
57.46005,-3.35106,Tamdhu Distillery,Not open to the public
57.3176081,-3.3086845,Tamnavulin Distillery,Not open to the public
57.3121947,-3.4120797,Tomintoul Distillery,Tours by appointment only http://www.tomintoulwhisky.com/tomintoul/contact
57.3979479,-3.40846,Tormore Distillery,Not open to the public
58.170566,-7.044858,Abhainn Dearg Distillery,
55.6975653,-5.2752664,Isle of Arran Distillery,
57.897603,-6.803976,Isle of Harris Distillery,Gin
58.9685021,-2.9555355,Highland Park Whisky Distillery,
55.8329076,-5.9508321,Isle of Jura Distillery Co,
57.351661,-6.0740461,Isle of Raasay Distillery,
55.445595,-5.236102,Lagg Distillery (Isle of Arran Distillers),http://www.laggwhisky.com
58.963169,-2.985341,Scapa Distillery Visitor Centre,
57.3023362,-6.3567491,Talisker Distillery,www.wanderingspirits.global/talisker-distillery
56.6207342,-6.0698,Tobermory Distillery Visitor Centre,
57.1135232,-5.8489099,Torabhaig Distillery,
55.4271098,-5.6107507,Glengyle Distillery,
55.429603,-5.604776,Glen Scotia Distillery,https://www.glenscotia.com/visit-us
55.4257535,-5.6087091,Springbank Distillery,http://www.wanderingspirits.global/springbank-distillery
56.3284544,-3.3484855,Aberargie Distillery,Not open to the public.
55.2608896,-4.8327366,Ailsa Bay Distillery,Not open to the public
55.0023117,-3.2606634,Annandale Distillery,
55.9229427,-4.4380765,Auchentoshan Distillery,
54.8582665,-4.4617482,Bladnoch Distillery ,
56.189383,-3.0557704,Cameronbridge Distillery,Not open to the public - industrial site
55.862035,-4.296216,Clydeside Distillery,
56.2952673,-3.1005706,Daftmill Distillery,Tours by appointment only
56.363749,-2.892142,Eden Mill St Andrews,Whisky and gin https://www.edenmill.com/tours-c-7
55.9499147,-3.2080742,Edinburgh Gin Distillery,
55.260804,-4.8336163,Girvan Distillery,Not open to the public
55.8630739,-4.2612075,Glasgow Distillery Company Ltd,
55.890202,-2.892578,Glenkinchie Distillery,https://www.malts.com/en-row/distilleries/glenkinchie
55.9431367,-3.1779329,Holyrood Distillery Visitor Centre & Shop,
56.181273,-3.212538,InchDairnie Distillery,Not open to the public
56.287384,-2.642391,Kingsbarns Distillery,
56.3520929,-3.2253887,Lindores Abbey Distillery,
55.9391034,-3.2365761,North British Distillery Company Limited,Not open to the public
55.8898616,-3.581197,Starlaw Distillery (Glen Turner Distillery Ltd),Not open to the public - industrial site
55.8488141,-4.2410404,Strathclyde Distillery,Not open to the public - industrial facility
 ,,,
,,,
57.2738957,-5.5161585,Eilean Donan Castle,
56.632461,-4.827887,Glencoe Mountain Ltd,
56.8763083,-5.4318595,Glenfinnan Viaduct,
57.5068324,-6.1746168,Old Man of Storr,
57.2898652,-6.1749494,Sligachan Hotel,
57.069627,-5.896995,Clan Donald Skye Visitor Centre,
57.448512,-6.5900179,Dunvegan Castle,
57.2503431,-6.2582954,The Fairy Pools,
56.6083348,-4.1746179,Invervar,
57.304414,-3.666988,Dulnain Bridge,
57.3228575,-4.4243818,Loch Ness,
55.8355105,-6.1720418,Finlaggan,
,,,
55.7390348,-6.3785912,Lochindaal Hotel,
55.684021,-6.045399,Kildalton Cross,
55.7821027,-6.4415397,Old Kilchoman Parish Church,
55.8629183,-4.2576252,The Pot Still,
55.9545815,-3.1996528,The Scotch Malt Whisky Society,
,,,
55.8641823,-4.2715323,The Bon Accord,
,,,
56.179375,-5.176321,Auchindrain," ""Historical croft township and museum"""
